participant_id,REC,LDI
15,0.28,0.12
16,0.28,0.24
17,0.227,0.187
18,0.307,0.067
19,0.207,0.1
20,0.133,0.167
21,0.213,0.1
22,0.247,0.053
23,0.2,0.193
24,0.347,0.1
25,0.247,0.147
26,0.193,0.2
27,0.327,0.22
28,0.22,0.133
29,0.24,0.287
30,0.147,0.12
31,0.253,0.22
32,0.32,0.067
33,0.187,0.107
34,0.2,0.24
36,0.24,0.06
37,0.3,0.033
38,0.173,0.18
39,0.313,0.127
40,0.307,0.107
41,0.187,0.293
42,0.2,0.073
43,0.207,0.113
44,0.333,0.087
45,0.24,0.113
46,0.273,0.08
47,0.253,0.213
49,0.173,0.147
50,0.273,0.187
51,0.253,0.193
52,0.24,0.093
53,0.233,0.207
54,0.333,0.127
55,0.167,0.08
56,0.253,0.14
57,0.233,0.2
58,0.22,0.093
59,0.287,0.193
60,0.24,0.167
61,0.227,0.113
62,0.32,0.12
63,0.247,0.16
64,0.207,0.147
65,0.26,0.22
66,0.327,0.253
67,0.313,0.12
